No.                      TimeTemperature°C
269              2020/4/5 3:34:49      23.4
270              2020/4/5 3:35:19      23.4
271              2020/4/5 3:35:49      23.4
272              2020/4/5 3:36:19      23.4
273              2020/4/5 3:36:49      23.4
274              2020/4/5 3:37:19      23.5
275              2020/4/5 3:37:49      23.5
276              2020/4/5 3:38:19      23.5
277              2020/4/5 3:38:49      23.5
278              2020/4/5 3:39:19      23.5
279              2020/4/5 3:39:49      23.5
280              2020/4/5 3:40:19      23.5
281              2020/4/5 3:40:49      23.5
282              2020/4/5 3:41:19      23.5
283              2020/4/5 3:41:49      23.5
284              2020/4/5 3:42:19      23.5
285              2020/4/5 3:42:49      23.5
286              2020/4/5 3:43:19      23.5
287              2020/4/5 3:43:49      23.5
288              2020/4/5 3:44:19      23.5
289              2020/4/5 3:44:49      23.5
290              2020/4/5 3:45:19      23.4
291              2020/4/5 3:45:49      23.4
292              2020/4/5 3:46:19      23.4
293              2020/4/5 3:46:49      23.4
294              2020/4/5 3:47:19      23.3
295              2020/4/5 3:47:49      23.3
296              2020/4/5 3:48:19      23.3
297              2020/4/5 3:48:49      23.3
298              2020/4/5 3:49:19      23.3
299              2020/4/5 3:49:49      23.3
300              2020/4/5 3:50:19      23.2
301              2020/4/5 3:50:49      23.2
302              2020/4/5 3:51:19      23.2
303              2020/4/5 3:51:49      23.2
304              2020/4/5 3:52:19      23.2
305              2020/4/5 3:52:49      23.1
306              2020/4/5 3:53:19      23.1
307              2020/4/5 3:53:49      23.1
308              2020/4/5 3:54:19      23.1
309              2020/4/5 3:54:49      23.1
310              2020/4/5 3:55:19        23
311              2020/4/5 3:55:49        23
312              2020/4/5 3:56:19        23
313              2020/4/5 3:56:49        23
314              2020/4/5 3:57:19        23
315              2020/4/5 3:57:49      22.9
316              2020/4/5 3:58:19      22.9
317              2020/4/5 3:58:49      22.9
318              2020/4/5 3:59:19      22.9
319              2020/4/5 3:59:49      22.9
320              2020/4/5 4:00:19      22.9
321              2020/4/5 4:00:49      22.9
322              2020/4/5 4:01:19      22.9
323              2020/4/5 4:01:49      22.9
324              2020/4/5 4:02:19      22.9
325              2020/4/5 4:02:49      22.9
326              2020/4/5 4:03:19      22.8
327              2020/4/5 4:03:49      22.8
328              2020/4/5 4:04:19      22.8
329              2020/4/5 4:04:49      22.8
330              2020/4/5 4:05:19      22.8
331              2020/4/5 4:05:49      22.8
332              2020/4/5 4:06:19      22.8
333              2020/4/5 4:06:49      22.7
334              2020/4/5 4:07:19      22.7
335              2020/4/5 4:07:49      22.7
336              2020/4/5 4:08:19      22.7
337              2020/4/5 4:08:49      22.7
338              2020/4/5 4:09:19      22.7
339              2020/4/5 4:09:49      22.7
340              2020/4/5 4:10:19      22.7
341              2020/4/5 4:10:49      22.7
342              2020/4/5 4:11:19      22.6
343              2020/4/5 4:11:49      22.6
344              2020/4/5 4:12:19      22.6
345              2020/4/5 4:12:49      22.6
346              2020/4/5 4:13:19      22.6
347              2020/4/5 4:13:49      22.6
348              2020/4/5 4:14:19      22.6
349              2020/4/5 4:14:49      22.6
350              2020/4/5 4:15:19      22.6
351              2020/4/5 4:15:49      22.6
352              2020/4/5 4:16:19      22.6
353              2020/4/5 4:16:49      22.6
354              2020/4/5 4:17:19      22.6
355              2020/4/5 4:17:49      22.6
356              2020/4/5 4:18:19      22.6
357              2020/4/5 4:18:49      22.6
358              2020/4/5 4:19:19      22.6
359              2020/4/5 4:19:49      22.5
360              2020/4/5 4:20:19      22.5
361              2020/4/5 4:20:49      22.5
362              2020/4/5 4:21:19      22.5
363              2020/4/5 4:21:49      22.5
364              2020/4/5 4:22:19      22.5
365              2020/4/5 4:22:49      22.5
366              2020/4/5 4:23:19      22.5
367              2020/4/5 4:23:49      22.5
368              2020/4/5 4:24:19      22.5
369              2020/4/5 4:24:49      22.5
370              2020/4/5 4:25:19      22.5
371              2020/4/5 4:25:49      22.5
372              2020/4/5 4:26:19      22.5
373              2020/4/5 4:26:49      22.5
374              2020/4/5 4:27:19      22.5
375              2020/4/5 4:27:49      22.5
376              2020/4/5 4:28:19      22.5
377              2020/4/5 4:28:49      22.4
378              2020/4/5 4:29:19      22.4
379              2020/4/5 4:29:49      22.4
380              2020/4/5 4:30:19      22.4
381              2020/4/5 4:30:49      22.4
382              2020/4/5 4:31:19      22.4
383              2020/4/5 4:31:49      22.4
384              2020/4/5 4:32:19      22.4
385              2020/4/5 4:32:49      22.4
386              2020/4/5 4:33:19      22.4
387              2020/4/5 4:33:49      22.4
388              2020/4/5 4:34:19      22.4
389              2020/4/5 4:34:49      22.4
